code6,name,industry,market_type,research_status,dqc_score,valuation_score,dividend_score,cashflow_score,dividend_yield,pe_ttm,pb,average_payout,cash_conversion,cash_coverage,dividend_stability,dividend_cagr,risk_flag_count,factor_status,factor_coverage
002006,精工科技,专用设备,主板,普通观察,45.3187,41.6624,62.8135,30.9578,0.8636,36.4451,2.8894,0.5305,0.7546,1.3467,0.8140,0.2441,1,有效,1.0000
002232,启明信息,IT服务,主板,普通观察,45.2581,29.9775,41.5447,62.0692,0.1277,170.6006,4.0584,0.3013,9.7791,11.6974,0.5500,0.5492,0,有效,1.0000
603063,禾望电气,风电设备,主板,价值陷阱复核,45.2539,47.4638,39.7117,48.9018,0.3931,31.9886,2.6056,0.1232,0.7831,5.5161,0.7768,-0.1799,2,有效,1.0000
002049,紫光国微,半导体,主板,价值陷阱复核,45.2063,67.9923,40.9241,29.9577,0.3934,33.0648,3.6033,0.1812,0.6987,3.0859,0.4937,-0.3260,3,有效,1.0000
601138,工业富联,消费电子,主板,普通观察,45.2020,45.1763,71.9106,18.5154,1.5794,27.0340,7.2160,0.5477,1.0260,1.8749,0.7602,0.2992,0,有效,1.0000
601869,长飞光纤,通信设备,主板,价值陷阱复核,45.1976,28.0761,38.7134,66.3573,0.2535,104.7924,22.0449,0.1610,2.6386,16.3763,0.6932,-0.2424,2,有效,1.0000
688059,华锐精密,通用设备,科创板,普通观察,45.1569,41.1250,64.7670,29.0026,1.5248,34.5791,5.3920,0.3492,1.1000,2.4087,0.4881,0.5320,0,有效,1.0000
300018,中元股份,电网设备,创业板,普通观察,45.1181,36.0211,60.0018,38.0320,0.9091,40.7611,3.9360,0.3999,1.4314,3.5867,0.7122,0.4258,0,有效,1.0000
605369,拱东医疗,医疗器械,主板,价值陷阱复核,45.0792,45.5943,41.2041,48.5128,0.8039,63.9533,2.1014,0.6413,1.6989,2.0582,0.5807,-0.3944,2,有效,1.0000
000917,电广传媒,文化传媒,主板,普通观察,45.0517,39.6121,46.3023,48.4637,0.2918,240.6469,0.9670,0.2955,1.6390,10.1503,0.7980,0.2247,1,有效,1.0000
002901,大博医疗,医疗器械,主板,普通观察,45.0024,50.9657,61.0168,23.8767,1.2666,23.2684,4.6893,0.5698,1.2532,2.1756,0.6803,0.5310,0,有效,1.0000
301388,欣灵电气,电网设备,创业板,价值陷阱复核,44.9882,29.2098,32.3516,71.1493,0.6583,92.5846,2.5959,0.8375,4.1000,4.2335,0.5258,-0.2441,2,有效,1.0000
300154,瑞凌股份,通用设备,创业板,普通观察,44.9580,34.6043,67.9771,30.8136,2.0305,62.2926,3.4499,0.8614,1.1275,1.2583,0.9990,-0.0011,1,有效,1.0000
